chi-0_fa,chi-1_fa,chi-2_fa,chi-3_fa,chi-4_fa,chi-5_fa,Z-0_fa,Z-1_fa,Z-2_fa,Z-3_fa,Z-4_fa,Z-5_fa,I-0_fa,I-1_fa,I-2_fa,I-3_fa,I-4_fa,I-5_fa,T-0_fa,T-1_fa,T-2_fa,T-3_fa,T-4_fa,T-5_fa,S-0_fa,S-1_fa,S-2_fa,S-3_fa,S-4_fa,S-5_fa,chi-0_ma,chi-1_ma,chi-2_ma,chi-3_ma,chi-4_ma,chi-5_ma,Z-0_ma,Z-1_ma,Z-2_ma,Z-3_ma,Z-4_ma,Z-5_ma,I-0_ma,I-1_ma,I-2_ma,I-3_ma,I-4_ma,I-5_ma,T-0_ma,T-1_ma,T-2_ma,T-3_ma,T-4_ma,T-5_ma,S-0_ma,S-1_ma,S-2_ma,S-3_ma,S-4_ma,S-5_ma,chi-0_md,chi-1_md,chi-2_md,chi-3_md,chi-4_md,chi-5_md,Z-0_md,Z-1_md,Z-2_md,Z-3_md,Z-4_md,Z-5_md,I-0_md,I-1_md,I-2_md,I-3_md,I-4_md,I-5_md,T-0_md,T-1_md,T-2_md,T-3_md,T-4_md,T-5_md,S-0_md,S-1_md,S-2_md,S-3_md,S-4_md,S-5_md,distance,barrier,smiles,filename
175.5209,370.19,656.7764,861.3974,1221.7882,873.9192,6479.0,5156.0,8220.0,5962.0,2738.0,1584.0,29.0,58.0,104.0,142.0,210.0,140.0,162.0,418.0,648.0,738.0,644.0,476.0,11.4869,28.8866,45.7316,60.3242,61.723,44.7936,175.5209,370.19,656.7764,861.3974,1221.7882,873.9192,6479.0,5156.0,8220.0,5962.0,2738.0,1584.0,29.0,58.0,104.0,142.0,210.0,140.0,162.0,418.0,648.0,738.0,644.0,476.0,11.4869,28.8866,45.7316,60.3242,61.723,44.7936,175.5209,370.19,656.7764,861.3974,1221.7882,873.9192,6479.0,5156.0,8220.0,5962.0,2738.0,1584.0,29.0,58.0,104.0,142.0,210.0,140.0,162.0,418.0,648.0,738.0,644.0,476.0,11.4869,28.8866,45.7316,60.3242,61.723,44.7936,0.9579,10.5,[Ir](n1ccnc1)([N+](C)(C)C)(C#[O+])(C#C[H])[H],ir_tbp_1_dft-iz_1_dft-nme3_1_dft-co_1_dft-cch_1_smi1_1_s_1
187.0667,384.846,703.2360000000001,1028.2168,1716.629,1097.888,7453.0,10240.0,9762.0,6658.0,2704.0,1010.0,33.0,64.0,122.0,174.0,304.0,194.0,186.0,482.0,774.0,976.0,890.0,590.0,12.0241,32.056,52.7738,72.993,76.5876,49.3802,187.0667,384.846,703.2360000000001,1028.2168,1716.629,1097.888,7453.0,10240.0,9762.0,6658.0,2704.0,1010.0,33.0,64.0,122.0,174.0,304.0,194.0,186.0,482.0,774.0,976.0,890.0,590.0,12.0241,32.056,52.7738,72.993,76.5876,49.3802,187.0667,384.846,703.2360000000001,1028.2168,1716.629,1097.888,7453.0,10240.0,9762.0,6658.0,2704.0,1010.0,33.0,64.0,122.0,174.0,304.0,194.0,186.0,482.0,774.0,976.0,890.0,590.0,12.0241,32.056,52.7738,72.993,76.5876,49.3802,0.9828,16.2,[Ir]([As+](C)(C)C)([N+](C)(C)C)(C#[N+][H])(O)[H],ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-oh_1_smi1_1_s_1
200.5066,433.343,735.8954,891.4464,1090.6394,1184.7552,6613.0,5626.0,7276.0,8358.0,5388.0,2448.0,32.0,66.0,112.0,138.0,174.0,190.0,178.0,444.0,646.0,782.0,798.0,678.0,13.2048,33.4838,50.3052,61.3154,67.8378,59.843,200.5066,433.343,735.8954,891.4464,1090.6394,1184.7552,6613.0,5626.0,7276.0,8358.0,5388.0,2448.0,32.0,66.0,112.0,138.0,174.0,190.0,178.0,444.0,646.0,782.0,798.0,678.0,13.2048,33.4838,50.3052,61.3154,67.8378,59.843,200.5066,433.343,735.8954,891.4464,1090.6394,1184.7552,6613.0,5626.0,7276.0,8358.0,5388.0,2448.0,32.0,66.0,112.0,138.0,174.0,190.0,178.0,444.0,646.0,782.0,798.0,678.0,13.2048,33.4838,50.3052,61.3154,67.8378,59.843,0.9865,19.7,[Ir]([n+]1ccncc1)([C-]1N(C)C=CN(C)1)(C#[N+][H])(O)[H],ir_tbp_1_dft-pyz_1_dft-ime_1_dft-hicn_1_dft-oh_1_smi1_1_s_1
190.2062,395.902,700.7268,907.2854,1252.794,899.426,7783.0,11872.0,9858.0,8374.0,5520.0,2820.0,33.0,66.0,120.0,152.0,218.0,150.0,186.0,464.0,678.0,788.0,714.0,660.0,13.8393,35.8466,56.0696,68.31,70.9146,54.1526,190.2062,395.902,700.7268,907.2854,1252.794,899.426,7783.0,11872.0,9858.0,8374.0,5520.0,2820.0,33.0,66.0,120.0,152.0,218.0,150.0,186.0,464.0,678.0,788.0,714.0,660.0,13.8393,35.8466,56.0696,68.31,70.9146,54.1526,190.2062,395.902,700.7268,907.2854,1252.794,899.426,7783.0,11872.0,9858.0,8374.0,5520.0,2820.0,33.0,66.0,120.0,152.0,218.0,150.0,186.0,464.0,678.0,788.0,714.0,660.0,13.8393,35.8466,56.0696,68.31,70.9146,54.1526,0.9259,10.7,[Ir]([As+](C)(C)C)([n+]1ccccc1)(C#[N+]C)([Cl])[H],ir_tbp_1_dft-asme3_1_dft-py_1_dft-iacn_1_chloride_1_smi1_1_s_1
172.4175,339.32,623.4580000000002,946.2916,1528.317,878.328,9667.0,19320.0,16656.0,10236.0,4032.0,936.0,31.0,60.0,118.0,164.0,282.0,144.0,178.0,460.0,728.0,872.0,732.0,468.0,13.389,35.439,59.9518,76.7466,78.6894,40.4928,172.4175,339.32,623.4580000000002,946.2916,1528.317,878.328,9667.0,19320.0,16656.0,10236.0,4032.0,936.0,31.0,60.0,118.0,164.0,282.0,144.0,178.0,460.0,728.0,872.0,732.0,468.0,13.389,35.439,59.9518,76.7466,78.6894,40.4928,172.4175,339.32,623.4580000000002,946.2916,1528.317,878.328,9667.0,19320.0,16656.0,10236.0,4032.0,936.0,31.0,60.0,118.0,164.0,282.0,144.0,178.0,460.0,728.0,872.0,732.0,468.0,13.389,35.439,59.9518,76.7466,78.6894,40.4928,0.8592,7.6,[Ir]([As+](C)(C)C)([As+](C)(C)C)(C#[O+])([Br])[H],ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_bromide_1_smi1_1_s_1
190.9278,405.19,706.971,948.8816,1365.3238,1003.2574,6757.0,5562.0,8398.0,8556.0,4334.0,3068.0,32.0,64.0,112.0,156.0,232.0,166.0,176.0,450.0,692.0,836.0,766.0,620.0,13.2867,32.2198,49.6266,68.0502,72.3784,60.1814,190.9278,405.19,706.971,948.8816,1365.3238,1003.2574,6757.0,5562.0,8398.0,8556.0,4334.0,3068.0,32.0,64.0,112.0,156.0,232.0,166.0,176.0,450.0,692.0,836.0,766.0,620.0,13.2867,32.2198,49.6266,68.0502,72.3784,60.1814,190.9278,405.19,706.971,948.8816,1365.3238,1003.2574,6757.0,5562.0,8398.0,8556.0,4334.0,3068.0,32.0,64.0,112.0,156.0,232.0,166.0,176.0,450.0,692.0,836.0,766.0,620.0,13.2867,32.2198,49.6266,68.0502,72.3784,60.1814,0.9784,14.7,[Ir]([N+](C)(C)C)([n+]1ccccc1)(C#[N+][H])(N=C=S)[H],ir_tbp_1_dft-nme3_1_dft-py_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1
213.1204,447.461,810.2662,1097.0756,1580.2464,1432.816,6733.0,6760.0,9324.0,8320.0,5132.0,2776.0,37.0,74.0,140.0,184.0,278.0,240.0,214.0,548.0,844.0,1048.0,1034.0,932.0,14.0552,36.9666,59.7182,78.428,88.85600000000002,75.4916,213.1204,447.461,810.2662,1097.0756,1580.2464,1432.816,6733.0,6760.0,9324.0,8320.0,5132.0,2776.0,37.0,74.0,140.0,184.0,278.0,240.0,214.0,548.0,844.0,1048.0,1034.0,932.0,14.0552,36.9666,59.7182,78.428,88.85600000000002,75.4916,213.1204,447.461,810.2662,1097.0756,1580.2464,1432.816,6733.0,6760.0,9324.0,8320.0,5132.0,2776.0,37.0,74.0,140.0,184.0,278.0,240.0,214.0,548.0,844.0,1048.0,1034.0,932.0,14.0552,36.9666,59.7182,78.428,88.85600000000002,75.4916,0.9142,11.0,[Ir]([P+](C)(C)C)([C-]1N(C)CCN(C)1)(C#[O+])(C#C[H])[H],ir_tbp_1_dft-pme3_1_dft-sime_1_dft-co_1_dft-cch_1_smi1_1_s_1
220.9436,466.821,822.3006,1036.6092,1248.0046,1388.9176,6701.0,5646.0,8312.0,9704.0,6190.0,3570.0,35.0,72.0,128.0,164.0,200.0,220.0,200.0,508.0,750.0,902.0,910.0,784.0,14.4979,36.4628,56.006,70.4332,78.844,73.7456,220.9436,466.821,822.3006,1036.6092,1248.0046,1388.9176,6701.0,5646.0,8312.0,9704.0,6190.0,3570.0,35.0,72.0,128.0,164.0,200.0,220.0,200.0,508.0,750.0,902.0,910.0,784.0,14.4979,36.4628,56.006,70.4332,78.844,73.7456,220.9436,466.821,822.3006,1036.6092,1248.0046,1388.9176,6701.0,5646.0,8312.0,9704.0,6190.0,3570.0,35.0,72.0,128.0,164.0,200.0,220.0,200.0,508.0,750.0,902.0,910.0,784.0,14.4979,36.4628,56.006,70.4332,78.844,73.7456,0.9656,18.4,[Ir]([n+]1ccccc1)([C-]1N(C)CCN(C)1)(C#[O+])(N=C=O)[H],ir_tbp_1_dft-py_1_dft-sime_1_dft-co_1_dft-icn_1_smi1_1_s_1
239.528,516.94,926.7598,1120.567,1446.8136,1700.76,6945.0,5744.0,8958.0,12674.0,7136.0,4740.0,39.0,80.0,146.0,176.0,234.0,278.0,226.0,568.0,840.0,1050.0,1130.0,986.0,15.9786,39.7362,61.4884,78.219,95.3274,91.7664,239.528,516.94,926.7598,1120.567,1446.8136,1700.76,6945.0,5744.0,8958.0,12674.0,7136.0,4740.0,39.0,80.0,146.0,176.0,234.0,278.0,226.0,568.0,840.0,1050.0,1130.0,986.0,15.9786,39.7362,61.4884,78.219,95.3274,91.7664,239.528,516.94,926.7598,1120.567,1446.8136,1700.76,6945.0,5744.0,8958.0,12674.0,7136.0,4740.0,39.0,80.0,146.0,176.0,234.0,278.0,226.0,568.0,840.0,1050.0,1130.0,986.0,15.9786,39.7362,61.4884,78.219,95.3274,91.7664,0.9554,16.9,[Ir]([C-]1N(C)C=CN(C)1)([C-]1N(C)CCN(C)1)(C#[O+])(N=C=S)[H],ir_tbp_1_dft-ime_1_dft-sime_1_dft-co_1_dft-itcn_1_smi1_1_s_1
226.2725,473.244,820.3982,1155.448,1582.8242,1917.0272,6803.0,7036.0,9390.0,9442.0,6596.0,3374.0,39.0,78.0,142.0,200.0,272.0,332.0,220.0,568.0,848.0,1122.0,1226.0,1038.0,15.2402,39.3302,62.5428,84.4438,99.5862,95.547,226.2725,473.244,820.3982,1155.448,1582.8242,1917.0272,6803.0,7036.0,9390.0,9442.0,6596.0,3374.0,39.0,78.0,142.0,200.0,272.0,332.0,220.0,568.0,848.0,1122.0,1226.0,1038.0,15.2402,39.3302,62.5428,84.4438,99.5862,95.547,226.2725,473.244,820.3982,1155.448,1582.8242,1917.0272,6803.0,7036.0,9390.0,9442.0,6596.0,3374.0,39.0,78.0,142.0,200.0,272.0,332.0,220.0,568.0,848.0,1122.0,1226.0,1038.0,15.2402,39.3302,62.5428,84.4438,99.5862,95.547,0.9572,4.7,[Ir]([n+]1ccncc1)([P+](CC)(CC)CC)(C#[N+][H])(C#N)[H],ir_tbp_1_dft-pyz_1_dft-pet3_1_dft-hicn_1_dft-cn_1_smi1_1_s_1
