latent_dim_0,latent_dim_1,latent_dim_2,latent_dim_3,latent_dim_4,latent_dim_5,latent_dim_6,latent_dim_7,latent_dim_8,latent_dim_9,latent_dim_10,latent_dim_11,latent_dim_12,latent_dim_13,latent_dim_14,latent_dim_15,barrier
0.7623527,-1.2578137,0.013312209,0.0017562993,-0.019273438,0.00035770983,-0.024108043,0.014990019,-0.36850777,0.035546016,0.018053133,0.01732317,-0.029586818,0.36195487,-0.002744507,0.28158748,16.4
-1.0036032,-0.6148859,0.029243626,0.020072935,0.06266677,0.056025095,0.06457792,0.043869607,1.857704,0.038325798,0.020344805,-0.010150522,-0.076140314,0.31649268,0.014422968,-0.35714376,11.4
0.2729872,1.2675965,-0.023592569,0.036957055,-0.01548513,0.017609224,-0.067619175,0.006346873,0.36859834,-0.00237488,0.0001919819,0.00981817,0.025813442,-0.68817955,-0.02672755,-1.7559611,9.8
0.18067834,-1.0067685,0.0016924776,0.030993594,-0.0022330582,0.15163113,-0.060406502,-0.026013127,-0.17384061,-0.0069898367,0.021089362,0.048819687,0.049528625,0.60440415,0.021279946,-1.7003099,13.6
0.86105186,-0.24808562,-0.046867814,0.00013587251,0.025709733,0.013183765,0.0007907823,-0.00037301518,0.40226966,-0.015809305,-0.016829189,-0.05402323,-0.016041987,-0.71587867,-0.010457136,2.1079361,9.7
1.3417174,-1.0726357,-0.017226133,0.038367283,0.026326105,0.073224135,-0.032318074,0.024334185,-0.3324197,0.015840378,0.030480951,0.00684252,0.05040638,-0.67893726,0.001442045,-0.32714832,10.8
0.81705415,1.81871,-0.016306538,0.016705278,0.020083264,0.1275642,-0.065982014,0.09195227,-0.49507087,-0.04669813,-0.0051674414,-0.03653078,0.0040948633,-0.29973358,-0.009738978,-1.5123243,12.8
-0.6919329,-1.5985886,0.051594317,0.022067124,-0.009676255,-0.03447441,0.03407039,-0.010476692,0.47836944,0.009235904,-0.024418686,0.053006615,0.06395045,1.3944046,-0.020063663,0.80139756,5.7
-0.018811213,-0.19000542,-0.08059178,0.020239765,-0.0139247775,0.015655123,-0.01972697,0.060486928,0.6824902,-0.008302286,-0.015179937,0.038095836,-0.028157413,-0.62440014,-0.008087382,-0.4085493,13.6
1.0198618,1.8870165,0.0065556504,0.023086425,0.016851656,0.18460907,-0.07218397,0.089394115,-0.87485224,-0.04609198,-0.0065912763,-0.0376066,0.04040709,-0.34532386,-0.0024752468,-1.134457,11.8
-0.41518244,-0.33172706,0.04775162,0.015563378,-0.0019898266,-0.04415241,-0.013691594,0.04530692,0.100375675,0.05688975,0.037026014,0.010522276,0.06580631,0.49091667,-0.02542416,1.7559052,7.4
-1.1719906,-1.3813536,0.0305183,-0.0014993139,0.039302308,0.010184571,0.011835121,0.03161183,1.7814816,0.015552126,-0.018512342,0.013751164,-0.096012846,0.2706028,-0.010520194,0.49721703,6.3
-1.1651814,0.67012465,0.03921698,0.08237358,0.009861991,0.05187186,0.08278686,-0.00701268,0.13024879,0.023480691,-0.049648378,-0.021770054,0.034879103,-1.4455914,0.04895349,-0.5755816,8.1
0.61886823,0.54451245,0.030010324,0.0127004925,0.038861614,0.028495088,0.034772415,-0.0241057,-1.023858,-0.011480063,0.027613126,-0.046188246,-0.027285557,0.95881534,0.05742257,-0.3114479,8.6
-2.0887294,-0.7505772,0.02379169,-7.2117895e-05,-0.044025905,-0.0104322955,0.028769955,-0.038968235,-0.2194893,0.063765965,-0.019694094,-0.032783516,0.05265259,-1.5868425,-0.0012235641,-0.15312748,14.2
1.6712606,1.5378256,-0.014623769,0.04940529,0.01864881,0.1379351,-0.093078285,0.06396907,-0.19168308,-0.021924287,0.008390869,-0.024067378,-0.025589671,-0.1943323,0.03538484,-0.69286907,11.1
0.24261853,1.3059975,-0.004381025,-0.0337396,0.064272225,-0.14557585,0.037579276,-0.031441115,-2.0268435,0.015894383,0.055836193,-0.07985447,-0.06792477,1.0744536,-0.04398255,1.505036,8.9
1.5723709,0.02904886,-0.035531133,0.04132077,0.0009024516,0.12801194,-0.0138644995,0.06588384,-1.922881,0.0052672774,0.03551193,0.016900945,0.011795629,-0.46651664,-0.022751436,-0.24244171,11.9
